"","id_no","Range_size","binomial"
"296","10137",23215652568.5156,"Hipposideros halophyllus"
"297","10138",6665217938.44906,"Hipposideros hypophyllus"
"299","10139",475032203.135152,"Hipposideros inexpectatus"
"300","10140",1270860127513.88,"Hipposideros jonesi"
"301","10141",410888101.571562,"Hipposideros lamottei"
"302","10142",712586188905.241,"Hipposideros lankadiva"
"304","10143",3287880639737.63,"Hipposideros larvatus"
"325","10144",96007516464.5951,"Hipposideros lekaguli"
"328","10145",1013286182270.56,"Hipposideros lylei"
"330","10146",12286432384.9034,"Hipposideros macrobullatus"
"333","10147",66492708362.3724,"Hipposideros madurae"
"335","10148",242444657195.57,"Hipposideros maggietaylorae"
"343","10149",31351577758.5706,"Hipposideros marisae"
"344","10150",943711899215.24,"Hipposideros megalotis"
"346","10151",116471973395.379,"Hipposideros muscinus"
"348","10152",68407703.2348614,"Hipposideros nequam"
"349","10153",150981483210.682,"Hipposideros obscurus"
"357","10154",2840896125826.48,"Hipposideros pomona"
"360","10155",2242962080126.93,"Hipposideros pratti"
"362","10156",47480391366.9062,"Hipposideros pygmaeus"
"369","10157",9062002167485.19,"Hipposideros ruber"
"370","10160",76339284619.9856,"Hipposideros semoni"
"372","10161",254475116.584925,"Hipposideros sorenseni"
"373","10162",1225278452423.64,"Hipposideros speoris"
"374","10163",489413649849.979,"Hipposideros stenotis"
"378","10164",42530116723.66,"Hipposideros sumbae"
"385","10165",48815989246.929,"Hipposideros turpis"
"391","10166",33302602228.0447,"Hipposideros wollastoni"
"393","10167",5571097586104.12,"Hippotragus equinus"
"394","10170",3013918723371.13,"Hippotragus niger"
"396","10200",696900409664.841,"Histiotus alienus"
"397","10201",462170269673.091,"Histiotus macrotus"
"398","10202",3290996151384.81,"Histiotus montanus"
"399","10203",3135711793534.56,"Histiotus velatus"
"400","10211",214221357175.202,"Hodomys alleni"
"401","10217",2878505626911.08,"Holochilus brasiliensis"
"402","10218",766923361301.978,"Holochilus chacarius"
"403","10219",295487686971.172,"Lundomys molitor"
"404","10220",9319852064317.57,"Holochilus sciureus"
"405","102208365",6800066863848.95,"Molossus coibensis"
"407","10259",332781883488.378,"Hoplomys gymnurus"
"408","10274",23460487003951.4,"Hyaena hyaena"
"409","10276",2290717350795.5,"Parahyaena brunnea"
"410","10278",588929011.968439,"Hybomys basilii"
"411","10279",17217021737.0925,"Hybomys badius"
"414","10280",2216952565.73188,"Hybomys lunaris"
"415","10281",239879553906.394,"Hybomys planifrons"
"416","10282",387198511577.307,"Hybomys trivirgatus"
"417","10283",2240781541026.77,"Hybomys univittatus"
"418","10300",13395889233942.3,"Hydrochoerus hydrochaeris"
"419","10310",3705392625847.59,"Hydromys chrysogaster"
"420","10311",777784062.941635,"Baiyankamys habbema"
"421","10312",840159447.996683,"Hydromys hussoni"
"422","10313",35333443408.5318,"Hydromys neobritannicus"
"423","10314",65462774652.2504,"Baiyankamys shawmayeri"
"424","10329",181922921718.129,"Hydropotes inermis"
"425","10341",2450415469354.62,"Hyemoschus aquaticus"
"427","10543",385727494944.918,"Hylobates agilis"
"429","10547",6004480273.5115,"Hylobates klossii"
"433","10548",638118632141.316,"Hylobates lar"
"439","10550",39231970780.2976,"Hylobates moloch"
"440","10552",121613228591.164,"Hylobates pileatus"
"441","10588",4593310147.32895,"Neohylomys hainanensis"
"442","10589",9948263564.78934,"Hylomys parvus"
"443","10590",252081703274.609,"Neotetracus sinensis"
"444","10591",53952081877.9432,"Hylomyscus baeri"
"445","10592",491928866807.478,"Hylomyscus parvus"
"446","10593",2618028517334.19,"Hylomyscus aeta"
"449","10594",1510866928827.95,"Hylomyscus alleni"
"450","10595",280113453189.578,"Hylomyscus carillus"
"451","10598",201149236045.265,"Hylonycteris underwoodi"
"452","10600",1399086875408.19,"Hylopetes alboniger"
"455","10602",62204631.2473888,"Hylopetes bartelsi"
"456","10604",11504736981.8923,"Hylopetes nigripes"
"458","10605",1105517398716.49,"Hylopetes phayrei"
"461","10606",616074768.173468,"Hylopetes sipora"
"462","10607",1145174858465.05,"Hylopetes spadiceus"
"464","10608",222066227.10557,"Hylopetes winstoni"
"465","10632",109116730750.989,"Hyomys dammermani"
"466","10633",110796727102.895,"Hyomys goliath"
"467","10635",32128582953.1106,"Hyosciurus heinrichi"
"468","10636",9499847510.7055,"Hyosciurus ileile"
"469","10642",76378552783.9337,"Hyperacrius fertilis"
"470","10643",26480854418.0046,"Hyperacrius wynnei"
"471","10714",333319306.430515,"Hypogeomys antimena"
"472","10734",2860594080067.7,"Hypsignathus monstrosus"
"473","10746",5369174356585.92,"Hystrix cristata"
"478","10748",7623760022241.53,"Hystrix africaeaustralis"
"479","10749",5786176384873.71,"Hystrix brachyura"
"480","10750",732627517848.783,"Hystrix crassispinis"
"481","10751",7063667050013.08,"Hystrix indica"
"482","10752",168922880863.629,"Hystrix javanica"
"489","10753",12398136566.1463,"Hystrix pumila"
"491","10754",429467752493.618,"Hystrix sumatrae"
"492","10755",1506490961339.36,"Ia io"
"493","10761",151153426986.525,"Ichthyomys hydrobates"
"494","10762",5460046409.93264,"Ichthyomys pittieri"
"495","10763",4513471609.08686,"Ichthyomys stolzmanni"
"496","10764",7181818155.14929,"Ichthyomys tweedii"
"497","10790",1390365361406.46,"Idionycteris phyllotis"
"498","10794",619575925937.948,"Idiurus macrotis"
"499","10796",277784746769.236,"Idiurus zenkeri"
"500","10826",30053451169.7114,"Indri indri"
"501","10845",806688737033.083,"Iomys horsfieldii"
"502","10846",1242491133.24292,"Iomys sipora"
"503","10851",145039906841.564,"Irenomys tarsalis"
"504","10863",20997770224.4874,"Isoodon auratus"
"505","1087",9720524798.36741,"Neamblysomus gunningi"
"506","10879",351407388435.328,"Isothrix pagurus"
"507","10886",6470372440.49973,"Isthmomys flavidus"
"508","10887",5206222882.18748,"Isthmomys pirrensis"
"509","1089",11984214482.7466,"Neamblysomus julianae"
"512","10911",1305249402410.6,"Jaculus blanfordi"
"513","10912",8111416601350.4,"Jaculus jaculus"
"514","10913",434057643618.327,"Jaculus orientalis"
"515","10954",265889713.921574,"Kadarsanomys sodyi"
"516","10957",916239899924.744,"Kannabateomys amblyonyx"
"517","10966",28990971118.1502,"Kerivoula africana"
"518","10968",3220914358.18031,"Kerivoula agnella"
"522","10969",2952050415867.43,"Kerivoula argentata"
"524","10970",198326929721.732,"Phoniscus atrox"
"527","10971",593891519906.649,"Kerivoula cuprosa"
"528","10972",305458939.398063,"Kerivoula eriophora"
"529","10973",52244177890.4944,"Kerivoula flora"
"536","10974",4047308258350.48,"Kerivoula hardwickii"
"551","10975",867950148280.272,"Kerivoula intermedia"
"554","10976",347552599978.472,"Phoniscus jagorii"
"561","10977",9072403915544.85,"Kerivoula lanosa"
"562","10978",143471134529.64,"Kerivoula minuta"
"565","10979",216626526625.067,"Kerivoula muscina"
"566","10980",40729300897.8329,"Kerivoula myrella"
"572","10981",789928257776.593,"Kerivoula papillosa"
"580","10982",474747755903.121,"Phoniscus papuensis"
"585","10983",1213322006595.86,"Kerivoula pellucida"
"592","10984",1206175725352.96,"Kerivoula phalaena"
"593","10985",2925844423330.67,"Kerivoula picta"
"604","10986",1100356193510.9,"Kerivoula smithii"
"605","10987",214657473424.175,"Kerivoula whiteheadi"
"612","10988",708728305988.236,"Kerodon rupestris"
"613","11033",202159534808.337,"Kobus leche"
"619","11034",110602965862.061,"Kobus megaceros"
"620","11035",8949699489190.13,"Kobus ellipsiprymnus"
"622","11036",3004386155942.18,"Kobus kob"
"627","11037",376058838702.019,"Kobus vardonii"
"629","11050",16442847399.4171,"Komodomys rintjanus"
"632","110500058",7834003.94432041,"Sicista loriger"
"633","11061",405854327605.827,"Kunsia tomentosus"
"634","11062",2158692083.88043,"Gyldenstolpia fronto"
"635","110662638",519015505705.426,"Otomys auratus"
"636","110662669",183846804880.85,"Otomys irroratus"
"637","110678346",13167700728.8785,"Tupaia palawanensis"
"642","11135",81889650743.7586,"Laephotis angolensis"
"643","11136",330447411960.342,"Laephotis botswanae"
"645","11137",27774565830.7258,"Laephotis namibensis"
"646","11138",1918973514465.38,"Laephotis wintoni"
"647","11148",1776083637373.59,"Lagidium viscacia"
"648","11149",52863812962.0141,"Lagidium wolffsohni"
"649","11161",1884273007129.83,"Lagorchestes conspicillatus"
"652","11162",95234491.3026626,"Lagorchestes hirsutus"
"655","11170",1466480450243.31,"Lagostomus maximus"
"656","11171",137024154.987592,"Lagostrophus fasciatus"
"659","11175",654624533644.415,"Lagothrix lagotricha"
"661","111754705",372998122773.492,"Crocidura obscurior"
"662","111767309",53974596860.9611,"Crocidura monax"
"664","11179",4713405110337.19,"Lagurus lagurus"
"665","11186",1658710892040,"Lama guanicoe"
"666","111871214",161230409442.794,"Tupaia longipes"
"667","111871663",153433286691.287,"Tupaia salatana"
"668","111872341",190363116673.653,"Tupaia glis"
"682","111873049",6956655160.24407,"Tupaia hypochrysa"
"683","111873543",429938490006.713,"Tupaia ferruginea"
"685","111876319",5211996614.12813,"Batomys granti"
"686","111876611",66459963.5686527,"Batomys uragon"
"687","111949037",254424915508.323,"Otomys karoensis"
"688","11202",439833802.972597,"Lamottemys okuensis"
"689","112393452",72930145548.7015,"Coccymys shawmayeri"
"690","112464492",31663274130.9172,"Coccymys ruemmleri"
"691","112503255",813337909.954781,"Crocidura newmarki"
"692","112503346",1435413903.47797,"Crocidura mdumai"
"693","112515709",5471909374.27484,"Crocidura usambarae"
"694","11304",52688425313.1427,"Lariscus hosei"
"695","11305",1276285787588.34,"Lariscus insignis"
"702","11306",113527872443.907,"Lariscus niobe"
"703","11307",6004261157.192,"Lariscus obscurus"
"707","11339",10110807933279.8,"Lasionycteris noctivagans"
"708","11340",819069349399.918,"Lasiopodomys brandtii"
"709","11341",48822137881.6302,"Lasiopodomys fuscus"
"710","11342",771621691790.434,"Lasiopodomys mandarinus"
"711","11343",91214677.9997775,"Lasiorhinus krefftii"
"712","11345",21071173115758.4,"Lasiurus cinereus"
"716","11347",4881497799138.06,"Lasiurus borealis"
"718","11348",7397389655.94859,"Lasiurus castaneus"
"719","11349",8611521.7826373,"Lasiurus ebenus"
"720","11350",13205182547095.3,"Lasiurus ega"
"721","11351",1322635975409.25,"Lasiurus egregius"
"723","11352",1748790816186.68,"Lasiurus intermedius"
"724","11353",1193515159834.32,"Lasiurus seminolus"
"725","1137",5766469120322.01,"Ametrida centurio"
"726","11374",15077456356.8513,"Latidens salimalii"
"727","11378",7568026742053.66,"Lavia frons"
"728","11384",1323546530468.15,"Leggadina lakedownensis"
"731","11385",1981608762571.23,"Leggadina forresti"
"732","11387",315224431.690876,"Leimacomys buettneri"
"733","1140",210235628157.969,"Ammodillus imbellis"
"734","1141",93566481477.6692,"Ammodorcas clarkei"
"736","11480",2123204580336.81,"Lemmus amurensis"
"737","11481",758091765150.37,"Lemmus lemmus"
"738","11482",2175080259795.16,"Lemmus sibiricus"
"739","11486",404854097.414544,"Lemniscomys mittendorfi"
"740","11487",249140730585.443,"Lemniscomys barbarus"
"741","11488",241558520029.365,"Lemniscomys bellieri"
"742","11489",599556135625.373,"Lemniscomys griselda"
"743","1149",16430670395.9421,"Ammospermophilus nelsoni"
"744","11490",317272451.960594,"Lemniscomys hoogstraali"
"745","11491",266638323613.827,"Lemniscomys linulus"
"746","11492",750784975638.513,"Lemniscomys macculus"
"747","11493",2429390548380.36,"Lemniscomys rosalia"
"748","11494",640163050.753426,"Lemniscomys roseveari"
"749","11495",4422632816592.35,"Lemniscomys striatus"
"750","114955348",1644216947323.92,"Cerradomys scotti"
"751","114957548",809586618166.665,"Akodon dolores"
"752","11496",100077994711.328,"Lemur catta"
"753","11498",116927085388.377,"Lenomys meyeri"
"754","114980541",48616401800.7403,"Brucepattersonius griserufescens"
"755","11499",238786058359.822,"Lenothrix canus"
"757","11500",32875482991.7649,"Lenoxus apicalis"
"758","11503",334964064.224864,"Leontopithecus caissara"
"759","11505",63670785053.7516,"Leontopithecus chrysopygus"
"760","11506",3990551967.76202,"Leontopithecus rosalia"
"761","11509",14546322928231.1,"Leopardus pardalis"
"762","1151",1416968014363.95,"Ammotragus lervia"
"769","11511",12288746405349.8,"Leopardus wiedii"
"770","11518",2061787685207.72,"Leopoldamys edwardsi"
"771","11519",109201361427.45,"Leopoldamys neilli"
"772","11520",2538761319680.07,"Leopoldamys sabanus"
"776","11521",6004261157.192,"Leopoldamys siporanus"
"780","1154",178408336410.825,"Amorphochilus schnablii"
"782","115553730",217645375535.278,"Ctenomys frater"
"783","115554360",161379269948.508,"Oryzomys gorgasi"
"784","115555116",145116986251.007,"Juscelinomys huanchacae"
"785","115590985",286548336839.273,"Oxymycterus paramensis"
"786","11616",9548799001.91234,"Lepilemur dorsalis"
"787","11617",9063523920.43655,"Lepilemur edwardsi"
"788","11618",1953794946.09389,"Lepilemur leucopus"
"789","11619",666516789.804871,"Lepilemur microdon"
"790","11620",25759909080.7058,"Lepilemur mustelinus"
"791","11621",15920184370.3894,"Lepilemur ruficaudatus"
"792","11622",141553444.664491,"Lepilemur septentrionalis"
"793","11633",628600935580.095,"Leporillus apicalis"
"794","11634",705737238.253864,"Leporillus conditor"
"803","11638",12952310552735.7,"Leptailurus serval"
"807","11691",73683008588.8574,"Leptomys elegans"
"808","11692",49834334906.1989,"Leptomys ernstmayri"
"809","11693",764467942.84383,"Leptomys signatus"
"810","11697",949993754579.274,"Leptonycteris nivalis"
"811","116988741",675863647348.041,"Neotoma lepida"
"812","116989038",931882465.063454,"Neotoma insularis"
"813","11699",840356495122.206,"Leptonycteris curasoae"
"817","117189944",271440285325.746,"Neotoma bryanti"
"819","117582065",252197761096.935,"Gazella arabica"
"826","11790",111721714.978789,"Lepus flavigularis"
"827","11791",20104831225506.8,"Lepus timidus"
"835","11792",423872058756.758,"Lepus callotis"
"836","11793",586554781.735259,"Lepus hainanus"
"837","11794",82426560.8228083,"Lepus insularis"
"838","11795",210409682576.965,"Lepus othus"
"839","11796",581120533228.912,"Lepus yarkandensis"
"840","11797",4980046019.27675,"Lepus castroviejoi"
"841","11798",195235017008.551,"Lepus fagani"
"842","11856",309943899462.186,"Lestodelphys halli"
"843","11933",77730786257.2368,"Liberiictis kuhni"
"845","11966",7337280882512.57,"Lichonycteris obscura"
"846","11979",56589478431.9653,"Limnogale mergulus"
"847","11980",1999965255.98466,"Limnomys sibuanus"
"848","120588639",1024034042.43326,"Pongo tapanuliensis"
"849","12073",22429240103.0626,"Heteromys adspersus"
"850","12074",606822969124.644,"Heteromys irroratus"
"851","12075",439292265609.565,"Heteromys pictus"
"852","12076",169498086142.33,"Heteromys salvini"
"853","12077",3178602175.72494,"Heteromys spectabilis"
"854","12078",7274395166621.24,"Lionycteris spurrelli"
"855","121097935",17958800915.0855,"Pongo abelii"
"856","12142",1418356350735.76,"Litocranius walleri"
"857","12263",938831432.172702,"Lonchophylla bokermanni"
"858","12264",28619179110.7618,"Lonchophylla dekeyseri"
"859","12265",124131627936.267,"Lonchophylla handleyi"
"860","12266",275064222158.873,"Lonchophylla hesperia"
"861","12267",20483630517.8427,"Lonchophylla mordax"
"862","12268",1116127352886.38,"Lonchophylla robusta"
"863","12269",8383354135936.2,"Lonchophylla thomasi"
"864","12270",11577000192695.1,"Lonchorhina aurita"
"866","12271",105607866961.094,"Lonchorhina fernandezi"
"867","12272",161297621121.515,"Lonchorhina marinkellei"
"868","12273",386541601161.703,"Lonchorhina orinocensis"
"869","12274",378168057214.413,"Lonchothrix emiliae"
"870","12302",19086449836679.7,"Lontra canadensis"
"882","12303",193053729148.845,"Lontra felina"
"883","12304",15024029538586.1,"Lontra longicaudis"
"884","12305",125851819153.617,"Lontra provocax"
"885","12308",424237645129.083,"Lophiomys imhausi"
"886","12309",1461558882770.99,"Lophocebus albigena"
"887","12310",720420895521.717,"Lophocebus aterrimus"
"889","12349",342454284.771013,"Lophuromys cinereus"
"890","12350",7510562276.75038,"Lophuromys medicaudatus"
"891","12351",10810378558.0845,"Lophuromys melanonyx"
"895","12352",4293324969.0108,"Lophuromys rahmi"
"897","12354",63598451033.4882,"Lophuromys luteogaster"
"898","12355",612364713696.409,"Lophuromys nudicaudus"
"899","12356",3320549218658.24,"Lophuromys sikapusi"
"900","12357",52330475692.1393,"Lophuromys woosnami"
"901","12361",251854494385.574,"Lorentzimys nouhuysi"
"902","12375",15402283005.9784,"Loris tardigradus"
"904","12392",3331648547686.3,"Loxodonta africana"
"1068","12419",27068053046251.4,"Lutra lutra"
"1075","12420",9962749569468.16,"Hydrictis maculicollis"
"1077","12421",865484758676.018,"Lutra sumatrana"
"1080","12427",4875736326680.77,"Lutrogale perspicillata"
"1084","12436",1272642746006.65,"Lycaon pictus"
"1086","12518",8327766463800.01,"Lynx canadensis"
"1105","12519",20817796119992.6,"Lynx lynx"
"1113","12520",1191691674.01666,"Lynx pardinus"
"1114","12521",9879514311544.14,"Lynx rufus"
"1115","12548",1423079517940.9,"Macaca arctoides"
"1118","12549",1808669972068.71,"Macaca assamensis"
"1120","12550",26772774067.8815,"Macaca cyclopis"
"1124","12551",2697162958586.85,"Macaca fascicularis"
"1170","12552",157042032264.246,"Macaca fuscata"
"1178","12553",4790632009.59432,"Macaca maura"
"1179","12554",7513323162127.81,"Macaca mulatta"
"1182","12555",1366583932438.5,"Macaca nemestrina"
"1192","12556",7665756078.29633,"Macaca nigra"
"1197","12557",43070364017.095,"Macaca ochreata"
"1200","12558",622337657684.62,"Macaca radiata"
"1202","12559",27905779291.507,"Macaca silenus"
"1203","12560",46491183953.325,"Macaca sinica"
"1206","12561",41523155517.8288,"Macaca sylvanus"
"1208","12562",1327324540190.67,"Macaca thibetana"
"1209","12563",81339184272.7803,"Macaca tonkeana"
"1211","12568",9771556814.34197,"Macaca nigrescens"
"1212","12570",23994723939.6215,"Macaca hecki"
"1213","12590",1078953529746.92,"Macroderma gigas"
"1217","12592",34097051975.6863,"Macrogalidia musschenbroekii"
"1218","12594",3590246002460.7,"Macroglossus minimus"
"1375","12595",2435637814989.49,"Macroglossus sobrinus"
"1387","12615",13066617648523.8,"Macrophyllum macrophyllum"
"1388","12620",30111040637.271,"Macropus bernardus"
"1389","12626",152879449968.36,"Macropus irma"
"1390","12627",50622903355.578,"Macropus parma"
"1391","1264",57114934434.5899,"Andalgalomys olrogi"
"1392","12646",2998651067.81767,"Macrotarsomys ingens"
"1393","12647",152421240641.737,"Macrotarsomys bastardi"
"1394","1265",139008134140.938,"Andalgalomys pearsoni"
"1395","12650",1080000839479.42,"Macrotis lagotis"
"1404","12652",643197453835.235,"Macrotus californicus"
"1405","12653",802742383551.986,"Macrotus waterhousii"
"1409","12655",339806125.189293,"Macruromys elegans"
"1410","12656",164573026635.395,"Macruromys major"
"1411","12667",183075075878.941,"Madoqua piacentinii"
"1413","12668",1098767269784.26,"Madoqua saltiana"
"1414","12669",1270987097315.36,"Madoqua guentheri"
"1415","12670",1336496837940.07,"Madoqua kirkii"
"1419","12702",240684237977.264,"Malacomys cansdalei"
"1421","12703",482419296388.075,"Malacomys edwardsi"
"1422","12704",1218174719617.75,"Malacomys longipes"
"1423","1271",228613140662.261,"Andinomys edax"
"1424","12712",1387360956699.33,"Malacothrix typica"
"1425","12721",136592077127.143,"Mallomys aroaensis"
"1426","12722",928000120.759331,"Mallomys gunung"
"1427","12723",75500661643.6785,"Mallomys istapantap"
"1428","12724",190242218325.012,"Mallomys rothschildi"
"1429","12753",44099652116.7493,"Mandrillus leucophaeus"
"1433","12754",324896986830.265,"Mandrillus sphinx"
"1434","12761",3290299042308.83,"Manis crassicaudata"
"1438","12762",3295263725432.81,"Smutsia gigantea"
"1443","12763",2319150086008.99,"Manis javanica"
"1465","12764",2676856945713.41,"Manis pentadactyla"
"1468","12765",7024457302763.83,"Smutsia temminckii"
"1469","12766",2711479067101.49,"Phataginus tetradactyla"
"1470","12767",5933685236372.08,"Phataginus tricuspis"
"1472","12795",43616818833.1037,"Margaretamys beccarii"
"1473","12796",11297556947.7995,"Margaretamys elegans"
"1475","12797",11573267393.8238,"Margaretamys parvus"
"1477","12812",15826306784.8053,"Marmosa andersoni"
"1478","12813",479520343995.144,"Tlacuatzin canescens"
"1484","12814",4163747665718.14,"Marmosa lepida"
"1485","12815",20304004704.7929,"Marmosa xerophila"
"1486","12816",10253637121.377,"Marmosa tyleriana"
"1487","12817",115031737.144763,"Marmosops cracens"
"1488","12819",79675456815.4316,"Marmosops fuscatus"
"1490","12820",68387754.030128,"Marmosops handleyi"
"1491","12822",605182476702.515,"Marmosops incanus"
"1492","12823",20699917541.335,"Marmosops invictus"
"1493","12824",1459355694366.22,"Marmosops parvidens"
"1494","12825",547910242500.489,"Marmota caudata"
"1495","12826",2387800812137.93,"Marmota himalayana"
"1496","12827",2790427220.27787,"Marmota menzbieri"
"1497","12828",2075021211.49216,"Marmota vancouverensis"
"1498","12829",606980346579.303,"Marmota baibacina"
"1499","12830",790385686293.491,"Marmota bobak"
"1500","12831",1023357207992.21,"Marmota camtschatica"
"1501","12832",1534491345398.77,"Marmota sibirica"
"1502","12835",212860316855.349,"Marmota marmota"
"1505","12847",30613026308.2874,"Martes gwatkinsii"
"1506","12848",9929674929589.02,"Martes martes"
"1514","12855",652446503406.545,"Massoutiera mzabi"
"1516","12863",39035458984.9868,"Mastomys pernanus"
"1518","12865",1271248533130.29,"Mastomys coucha"
"1519","12866",7098368155868.44,"Mastomys erythroleucus"
"1520","12868",16655440978915.2,"Mastomys natalensis"
"1521","12869",96016470000.8432,"Mastomys shortridgei"
"1522","12891",3957805693.56604,"Maxomys alticola"
"1523","12892",77501069217.24,"Maxomys baeodon"
"1524","12893",7430612165.70475,"Maxomys bartelsii"
"1525","12894",736958385.409397,"Maxomys dollmani"
"1526","12895",144666760348.241,"Maxomys hellwaldii"
"1527","12896",282595811.355708,"Maxomys hylomyoides"
"1528","12897",12645857436.3483,"Maxomys inas"
"1529","12898",77602800366.9836,"Maxomys inflatus"
"1530","12899",38181709639.366,"Maxomys moi"
"1531","12900",169337754275.056,"Maxomys musschenbroekii"
"1532","12901",126346992244.653,"Maxomys ochraceiventer"
"1533","12902",6004261157.192,"Maxomys pagensis"
"1534","12903",13144027116.8775,"Maxomys panglima"
"1538","12904",1317194645120.36,"Maxomys rajah"
"1542","12905",2819980273859.97,"Maxomys surifer"
"1546","12906",782224262.869859,"Maxomys wattsi"
"1547","12907",1321686457179.58,"Maxomys whiteheadi"
"1552","12913",153629413308.803,"Mazama chunyi"
"1553","12914",53576674922.5642,"Mazama rufina"
"1554","12937",6974969471.65629,"Megadendromus nikolausi"
"1555","12938",6042090922907.65,"Megaderma lyra"
"1556","12939",4059232340300.04,"Megaderma spasma"
"1564","12940",1540703599.27973,"Megadontomys cryophilus"
"1565","12941",4981052414.72313,"Megadontomys nelsoni"
"1566","12942",271894635.432022,"Megadontomys thomasi"
"1567","12945",14103797986.2517,"Megaerops kusnotoi"
"1570","12946",1274119409035.98,"Megaerops ecaudatus"
"1574","12947",1321362112423.96,"Megaerops niphanae"
"1575","12948",165916685400.491,"Megaerops wetmorei"
"1579","13046",748135408557.426,"Melanomys caliginosus"
"1580","13047",22782279678.4468,"Melanomys robustulus"
"1581","13048",228847374.767437,"Melanomys zunigae"
"1582","1307",181682747955.794,"Anisomys imitator"
"1583","13079",11404951328.037,"Melasmothrix naso"
"1586","13110",19935800.1427502,"Melogale everetti"
"1587","13114",1314217536.45851,"Melomys aerosus"
"1588","13115",12389127934.3405,"Melomys bougainville"
"1591","13116",492110478260.9,"Melomys burtoni"
"1592","13117",31410624679.5032,"Melomys capensis"
"1593","13118",217518123242.428,"Melomys cervinipes"
"1596","13119",22748589316.9984,"Protochromys fellowsi"
"1597","13120",129989242.275847,"Melomys fraterculus"
"1598","13122",86029860856.7262,"Mammelomys lanosus"
"1599","13123",243984081588.666,"Melomys leucogaster"
"1601","13124",27271382811.4016,"Paramelomys levipes"
"1602","13125",175785869169.715,"Paramelomys lorentzii"
"1603","13126",225112951442.515,"Paramelomys mollis"
"1604","13127",79468890644.0598,"Paramelomys moncktoni"
"1606","13128",2708401281.65021,"Melomys obiensis"
"1608","13129",496373431221.19,"Paramelomys platyops"
"1609","13130",125631706738.337,"Mammelomys rattoides"
"1610","13131",234666786779.482,"Paramelomys rubex"
"1611","13132",186.159893351747,"Melomys rubicola"
"1612","13133",769118528638.097,"Melomys rufescens"
"1613","13139",45239909223.7727,"Melonycteris melanops"
"1648","13140",16782922250.58,"Melonycteris woodfordi"
"1657","13141",16829600983.0786,"Melonycteris fardoulisi"
"1665","13143",1081004168080.19,"Melursus ursinus"
"1669","13144",1232122954791.62,"Menetes berdmorei"
"1671","13159",257097806001.67,"Meriones arimalius"
"1672","13160",43171296163.4887,"Meriones chengi"
"1673","13161",7566619177367.5,"Meriones crassus"
"1675","13162",851415816.2996,"Meriones dahli"
"1676","13163",480817193855.656,"Meriones hurrianae"
"1677","13164",7831915588986.67,"Meriones libycus"
"1678","13165",6162635387534.22,"Meriones meridianus"
"1679","13166",2222403477156.11,"Meriones persicus"
"1680","13167",205685993812.526,"Meriones rex"
"1681","13168",8212932912.15004,"Meriones sacramenti"
"1682","13169",2568257005399.96,"Meriones tamariscinus"
"1683","13170",901513449484.511,"Meriones tristrami"
"1684","13171",3276882412600.44,"Meriones unguiculatus"
"1685","13172",304025530741.201,"Meriones vinogradovi"
"1686","13173",134987212194.353,"Meriones zarudnyi"
"1687","13209",243285189235.161,"Mesechinus hughi"
"1688","13211",237211175760.96,"Mesembriomys gouldii"
"1690","13212",34779613026.4226,"Mesembriomys macrurus"
"1695","13215",48998537.9729561,"Mesocapromys angelcabrerai"
